,minicluster_size,mpitype,runtime,analysis,ranks,name
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-8,6,ompi,1.596104621887207,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-0,6,ompi,1.5568625926971436,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-10,6,ompi,1.6045279502868652,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-5,6,ompi,1.6729440689086914,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-19,6,ompi,1.6116447448730469,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-17,6,ompi,1.603280782699585,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-15,6,ompi,1.5731987953186035,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-4,6,ompi,1.644078016281128,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-18,6,ompi,1.6038126945495605,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-2,6,ompi,1.5751450061798096,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-6,6,ompi,1.5933098793029785,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-12,6,ompi,1.589883804321289,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-3,6,ompi,1.6120023727416992,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-7,6,ompi,1.5906767845153809,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-9,6,ompi,1.6091992855072021,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-11,6,ompi,1.645219326019287,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-1,6,ompi,1.6302967071533203,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-16,6,ompi,1.5926589965820312,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-13,6,ompi,1.6029798984527588,ring_usempi,336,ompi
kubernetes-8/ompi/size_6_ring_usempi/mpis-6-ring_usempi-14,6,ompi,1.6094725131988525,ring_usempi,336,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-0,8,ompi,1.7430412769317627,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-16,8,ompi,1.7892391681671143,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-1,8,ompi,1.7698583602905273,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-10,8,ompi,1.8217813968658447,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-8,8,ompi,1.7668180465698242,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-5,8,ompi,1.7845780849456787,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-6,8,ompi,1.8073515892028809,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-4,8,ompi,1.8017032146453857,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-17,8,ompi,1.7478771209716797,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-18,8,ompi,1.7931387424468994,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-14,8,ompi,1.7691166400909424,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-2,8,ompi,1.7757015228271484,ring_usempi,448,ompi
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-12,8,ompi,1.7766563892364502,ring_usempi,448,ompi
